slice,state_col,q30,q70,group_col,group,n_rows,base_pred_at_zero,best_promo_intensity,best_lift_vs_zero,best_lift_pct_vs_zero,turning_promo_intensity,turning_marginal
low_sales,sales_lag_1,2815.582,16515.355999999996,overall,overall,37144,1065.543773414888,5322.449999999999,0.193819956067955,0.0001818976947768131,164.07999999999998,-0.0020601694723919586
low_sales,sales_lag_1,2815.582,16515.355999999996,tier,A_core,1194,842.1503031157166,5322.449999999999,0.5696265837369765,0.0006763953912140388,13199.380000000023,-0.0010733614873133814
low_sales,sales_lag_1,2815.582,16515.355999999996,tier,B_holiday,10538,1089.593870513506,20960.03999999997,14.408458226046605,0.013223696109134825,164.07999999999998,-0.007446126660550832
low_sales,sales_lag_1,2815.582,16515.355999999996,tier,C_tail,25412,1066.066828676653,5322.449999999999,0.1872884673127828,0.0001756817323968993,13199.380000000023,-0.0004874572816422909
low_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Core_driven_store,11489,598.0921755947546,13199.380000000023,2.2558773186336794,0.0037717887153270154,164.07999999999998,-0.00433777456327174
low_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Holiday_driven_store,1304,1215.5937951839658,48272.029999999984,39.246736946669216,0.032286062253821954,164.07999999999998,-0.0012727907955114922
low_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Tail_heavy_store,24351,1278.0560389879088,20960.03999999997,1.8146836450246155,0.0014198779941305716,164.07999999999998,-0.0010277411082810462
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Core_driven_store,724,737.0161171776455,164.07999999999998,0.06647854422351429,9.01995800011667e-05,13199.380000000023,-2.4079497427376136e-05
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Core_driven_store,3324,521.8974739975614,13199.380000000023,10.057572968630325,0.019271166215066447,164.07999999999998,-0.015585508237264812
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Tail_heavy_store,6989,1348.4369269388376,20960.03999999997,15.343412226331338,0.01137866511944558,164.07999999999998,-0.003577240545267648
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Core_driven_store,7441,618.612301169685,5322.449999999999,0.04006065202440823,6.47588997966266e-05,13199.380000000023,-0.00013175571212132158
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Holiday_driven_store,1022,1194.6961598634227,48272.029999999984,38.53721832369229,0.032256919891747074,13199.380000000023,-0.0007758744189879754
low_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Tail_heavy_store,16949,1254.7534746561482,5322.449999999999,0.25509748643889907,0.00020330486553050257,164.07999999999998,-1.4861972312659352e-06
mid_sales,sales_lag_1,2815.582,16515.355999999996,overall,overall,49525,8394.209484675006,5322.449999999999,12.171616772275229,0.0014500015510092396,164.07999999999998,-0.006706244681844799
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier,A_core,8164,10621.217819118898,5322.449999999999,4.701251289279753,0.0004426282719498689,164.07999999999998,-0.0004970648679963385
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier,B_holiday,12445,8184.238257518949,5322.449999999999,27.871029823881145,0.003405451912189351,164.07999999999998,-0.018721049225091563
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier,C_tail,28916,7855.815373440991,5322.449999999999,7.523977692735571,0.0009577589766394842,164.07999999999998,-0.0032883273163538482
mid_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Core_driven_store,6347,8643.909662152771,5322.449999999999,4.236899354722482,0.0004901600688023941,164.07999999999998,-0.005103757785887983
mid_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Holiday_driven_store,2344,9418.083206667987,5322.449999999999,17.62863572297283,0.0018717859394671505,164.07999999999998,-0.006174142183239067
mid_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Tail_heavy_store,40834,8296.62396694951,5322.449999999999,13.091693155407484,0.0015779542627892558,164.07999999999998,-0.006985870302286259
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Core_driven_store,2842,9452.569638603558,5322.449999999999,0.7381925230620254,7.809437552803681e-05,164.07999999999998,-0.0007822907066203077
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Tail_heavy_store,5021,11179.242765113355,5322.449999999999,7.093270263030718,0.0006345036432312232,164.07999999999998,-0.00036541872020706733
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Core_driven_store,700,7410.0771525110695,5322.449999999999,19.737668339632364,0.0026636252138000772,164.07999999999998,-0.0246785433739178
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Holiday_driven_store,565,9421.8047667396,5322.449999999999,58.780246869966504,0.006238746007290417,164.07999999999998,-0.018054692537076675
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Tail_heavy_store,11180,8170.167389522155,5322.449999999999,26.81822529864894,0.003282457264344672,164.07999999999998,-0.01838171520226026
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Core_driven_store,2805,8132.491160789512,5322.449999999999,3.913472091312542,0.00048121442912612,164.07999999999998,-0.00459725494369486
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Holiday_driven_store,1478,8820.179908308983,5322.449999999999,5.035805323848763,0.0005709413386346939,164.07999999999998,-0.002889910686117831
mid_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Tail_heavy_store,24633,7766.447193923777,5322.449999999999,8.084404233279201,0.0010409398314848756,164.07999999999998,-0.003163182907822116
high_sales,sales_lag_1,2815.582,16515.355999999996,overall,overall,37144,40238.99788144198,5322.449999999999,95.84576873099286,0.00238191241773435,164.07999999999998,-0.02107230487959135
high_sales,sales_lag_1,2815.582,16515.355999999996,tier,A_core,22195,45960.351381381304,5322.449999999999,47.110238127766934,0.001025019102592228,164.07999999999998,-0.007788061257837388
high_sales,sales_lag_1,2815.582,16515.355999999996,tier,B_holiday,5394,32778.58930852135,5322.449999999999,264.83107578098134,0.008079392108315474,164.07999999999998,-0.09717721823728966
high_sales,sales_lag_1,2815.582,16515.355999999996,tier,C_tail,9555,31160.609907729846,5322.449999999999,113.6561670052688,0.0036474307576718746,164.07999999999998,-0.008967007604318273
high_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Core_driven_store,4272,37826.90525564911,5322.449999999999,16.550603740608494,0.0004375352313056805,164.07999999999998,-0.005219838353999862
high_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Holiday_driven_store,2078,41927.130463290145,5322.449999999999,269.79294193180976,0.006434805791634859,164.07999999999998,-0.028279473445838813
high_sales,sales_lag_1,2815.582,16515.355999999996,store_profile,Tail_heavy_store,30794,40459.70711675752,5322.449999999999,95.10818085437495,0.0023506888119559136,164.07999999999998,-0.022785146365530005
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Core_driven_store,3081,41530.906103057336,5322.449999999999,14.338607477373444,0.00034525149636255813,164.07999999999998,-0.004460884363240928
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Holiday_driven_store,1043,49300.72253592763,5322.449999999999,171.31022803059022,0.0034748015692011177,164.07999999999998,-0.011184495402034133
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,A_core@Tail_heavy_store,18071,46522.75046213636,5322.449999999999,45.529185865292675,0.00097864346826071,164.07999999999998,-0.00815929423888737
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Holiday_driven_store,567,37932.08095914595,5322.449999999999,435.74009874444164,0.011487376588006007,164.07999999999998,-0.06937378242589877
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,B_holiday@Tail_heavy_store,4672,32346.82423640267,5322.449999999999,250.33687419146372,0.007739148435775591,164.07999999999998,-0.10220765982051405
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Core_driven_store,1036,28440.115400345752,5322.449999999999,14.156968137180229,0.0004977816699368288,164.07999999999998,-0.0011876166699558727
high_sales,sales_lag_1,2815.582,16515.355999999996,tier_store_profile,C_tail@Tail_heavy_store,8051,31558.717490956635,5322.449999999999,116.3122006253725,0.0036855807166023954,164.07999999999998,-0.009524904273857581
